SpeciesID	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
S45	5445	372158	1120	489	0	409	0	51789	4890	0	82964	0	0	0	0	0	0	0	0	22315	7615	889	5305	408	0	0	0	0	0	132014	0	0	0	91176	64240	22360	0	47649	0	7625	0	0	469	0	8632	0	0	98297	594	0	0	23431	0	0	0	53374	0	647	4965
S46	0	13622	0	0	0	0	0	24550	0	2009	606	0	0	0	0	0	4474	0	0	137	0	0	0	0	0	0	0	0	0	1935	0	323	0	0	4857	4917	0	0	0	0	1110	0	0	0	3785	0	0	6148	0	0	0	0	0	0	0	3356	0	0	10648
S47	50	0	0	0	0	0	0	27822	0	0	1100	0	0	0	0	0	8910	0	0	0	0	0	0	0	0	0	0	0	0	1459	0	0	0	544	18986	2231	0	1221	0	786	0	0	0	0	0	0	0	8821	0	0	0	25008	0	0	0	0	0	0	0
S48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49	0	557039	0	0	0	0	0	23271	0	0	0	0	392	0	3296	0	1233	0	0	27761	722	506	0	0	0	0	0	0	0	0	0	0	0	9806	0	16073	0	20343	0	0	0	0	0	1272	0	0	0	38660	0	0	0	0	0	0	0	0	232	0	0
S50	4950	120710	3098	0	0	0	6845	22430	0	6299	312982	10965	2443	0	4377	0	0	0	2900	20098	4069	5087	0	112	0	0	0	0	0	8581	0	0	0	106180	17861	26419	843	7706	0	0	0	0	9397	910	269	0	1605	37553	2261	0	0	24430	0	0	987	0	0	38984	0
S51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S54	174	8304	407669	354074	313922	225207	73409	361130	1687326	496311	1020175	678371	530245	1005015	80297	796118	2617027	738677	1346760	24751	552573	1709198	647280	2800659	2606486	826074	2481394	180167	629395	187713	1536876	4475999	55929	21447	226782	93273	270748	23603	142095	162093	231750	196336	120172	2067	989357	970291	321467	1389528	27752	9797	372724	1514008	37411	106557	40103	667127	107658	27863	397138
S55	0	0	0	0	0	0	0	0	0	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
